REF_DATE,GEO,DGUID,North American Industry Classification System (NAICS),Adjustments,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
Sep-19,Canada,2016A000011124,General merchandise stores [452],Unadjusted,Dollars,81,thousands,3,v52367132,1.26.1,5782632,A,,,0
Sep-19,Canada,2016A000011124,General merchandise stores [452],Seasonally adjusted,Dollars,81,thousands,3,v52367133,1.26.2,6086330,A,,,0
Sep-19,Canada,2016A000011124,Department stores [4521],Unadjusted,Dollars,81,thousands,3,v52367134,1.27.1,,x,,,0
Sep-19,Canada,2016A000011124,Department stores [4521],Seasonally adjusted,Dollars,81,thousands,3,v52367135,1.27.2,,x,,,0
Sep-19,Canada,2016A000011124,Other general merchandise stores [4529],Unadjusted,Dollars,81,thousands,3,v52367136,1.28.1,,x,,,0
Sep-19,Canada,2016A000011124,Other general merchandise stores [4529],Seasonally adjusted,Dollars,81,thousands,3,v52367137,1.28.2,,x,,,0
Sep-19,Canada,2016A000011124,Miscellaneous store retailers [453],Unadjusted,Dollars,81,thousands,3,v52367138,1.29.1,1487030,A,,,0
Sep-19,Canada,2016A000011124,Miscellaneous store retailers [453],Seasonally adjusted,Dollars,81,thousands,3,v52367139,1.29.2,1446526,A,,,0
Sep-19,Canada,2016A000011124,Cannabis stores [453993],Unadjusted,Dollars,81,thousands,3,v1035339082,1.30.1,122927,A,,,0
Sep-19,Canada,2016A000011124,Cannabis stores [453993],Seasonally adjusted,Dollars,81,thousands,3,v1035339099,1.30.2,122927,A,,,0
Sep-19,Newfoundland and Labrador,2016A000210,Retail trade [44-45],Unadjusted,Dollars,81,thousands,3,v52367393,2.1.1,755373,A,,,0
Sep-19,Newfoundland and Labrador,2016A000210,Retail trade [44-45],Seasonally adjusted,Dollars,81,thousands,3,v52367394,2.1.2,753166,A,,,0
Sep-19,Newfoundland and Labrador,2016A000210,Motor vehicle and parts dealers [441],Unadjusted,Dollars,81,thousands,3,v52367405,2.2.1,215107,A,,,0
Sep-19,Newfoundland and Labrador,2016A000210,Automobile dealers [4411],Unadjusted,Dollars,81,thousands,3,v52367416,2.3.1,184053,A,,,0
Sep-19,Newfoundland and Labrador,2016A000210,New car dealers [44111],Unadjusted,Dollars,81,thousands,3,v52367417,2.4.1,173706,A,,,0
Sep-19,Newfoundland and Labrador,2016A000210,Used car dealers [44112],Unadjusted,Dollars,81,thousands,3,v52367418,2.5.1,10347,C,,,0
Sep-19,Newfoundland and Labrador,2016A000210,Other motor vehicle dealers [4412],Unadjusted,Dollars,81,thousands,3,v52367419,2.6.1,17587,B,,,0
Sep-19,Newfoundland and Labrador,2016A000210,"Automotive parts, accessories and tire stores [4413]",Unadjusted,Dollars,81,thousands,3,v52367420,2.7.1,13468,A,,,0
Sep-19,Newfoundland and Labrador,2016A000210,Furniture and home furnishings stores [442],Unadjusted,Dollars,81,thousands,3,v52367421,2.8.1,,x,,,0
Sep-19,Newfoundland and Labrador,2016A000210,Furniture stores [4421],Unadjusted,Dollars,81,thousands,3,v52367422,2.9.1,10878,A,,,0
Sep-19,Newfoundland and Labrador,2016A000210,Home furnishings stores [4422],Unadjusted,Dollars,81,thousands,3,v52367395,2.10.1,,x,,,0
Sep-19,Newfoundland and Labrador,2016A000210,Electronics and appliance stores [443],Unadjusted,Dollars,81,thousands,3,v52367396,2.11.1,5873,A,,,0
Sep-19,Newfoundland and Labrador,2016A000210,Building material and garden equipment and supplies dealers [444],Unadjusted,Dollars,81,thousands,3,v52367397,2.12.1,,x,,,0
Sep-19,Newfoundland and Labrador,2016A000210,Food and beverage stores [445],Unadjusted,Dollars,81,thousands,3,v52367398,2.13.1,160085,A,,,0
Sep-19,Newfoundland and Labrador,2016A000210,Grocery stores [4451],Unadjusted,Dollars,81,thousands,3,v52367399,2.14.1,132065,A,,,0
Sep-19,Newfoundland and Labrador,2016A000210,Supermarkets and other grocery (except convenience) stores? [44511],Unadjusted,Dollars,81,thousands,3,v52367400,2.15.1,107404,A,,,0
Sep-19,Newfoundland and Labrador,2016A000210,Convenience stores [44512],Unadjusted,Dollars,81,thousands,3,v52367401,2.16.1,24661,A,,,0
Sep-19,Newfoundland and Labrador,2016A000210,Specialty food stores [4452],Unadjusted,Dollars,81,thousands,3,v52367402,2.17.1,,x,,,0
